City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind speed,Country,Date
Auka,14.93,-83.83,89.6,70,75,10.29,HN,1595453682
Surazh,53.02,32.39,51.53,89,0,9.44,RU,1595453682
Yokadouma,3.52,15.05,69.78,91,78,1.03,CM,1595453683
Maceió,-9.67,-35.74,73.4,88,75,8.05,BR,1595453435
Poum,-20.23,164.02,70.97,72,84,18.03,NC,1595453683
Paraná,-31.73,-60.52,57.0,85,100,1.01,AR,1595453683
Nipawin,53.37,-104.0,80.6,57,1,13.87,CA,1595453684
Makīnsk,52.63,70.42,56.53,71,14,7.02,KZ,1595453684
Cayenne,4.93,-52.33,77.0,100,75,9.13,GF,1595453405
Port Hardy,50.7,-127.42,66.2,68,40,11.41,CA,1595453540
West Monroe,32.52,-92.15,93.2,52,1,5.82,US,1595453685
Grand Gaube,-20.01,57.66,66.0,64,54,3.0,MU,1595453675
Moengo,5.62,-54.4,76.46,90,82,4.0,SR,1595453686
Makungu,-8.73,35.28,56.16,81,66,3.02,TZ,1595453686
Carauari,-4.88,-66.9,83.39,58,56,1.57,BR,1595453512
Dobryanka,58.46,56.42,60.8,87,100,6.71,RU,1595453686
Íquira,2.65,-75.63,95.0,32,40,2.24,CO,1595453687
Gouyave,12.16,-61.73,84.2,74,40,17.22,GD,1595453687
Uchiza,-8.46,-76.46,83.1,57,9,1.81,PE,1595453688
Batagay,67.63,134.63,73.6,44,95,5.26,RU,1595453688
Shekhupura,31.71,73.98,82.4,78,0,4.7,PK,1595453688
Kongolo,-5.38,27.0,74.32,36,100,2.98,CD,1595453689
Grindavik,63.84,-22.43,51.8,71,65,12.75,IS,1595453689
Soldotna,60.49,-151.06,55.99,93,90,8.46,US,1595453623
Tabou,4.42,-7.35,75.6,86,100,10.09,CI,1595453690
Madera,37.17,-119.83,95.0,22,0,3.0,US,1595453690
Berlevåg,70.86,29.09,48.2,100,75,6.93,NO,1595453691
East Wemyss,56.16,-3.06,59.0,94,100,1.01,GB,1595453691
Beringovskiy,63.05,179.32,49.24,78,0,9.08,RU,1595453691
Zhangaözen,43.3,52.8,75.49,42,72,7.29,KZ,1595453692
Waseca,44.08,-93.51,73.0,64,75,10.29,US,1595453692
Jalu,29.03,21.55,77.49,55,0,14.5,LY,1595453692
Vilyuysk,63.76,121.62,60.67,84,0,6.53,RU,1595453630
Raudeberg,61.99,5.14,51.8,71,20,9.17,NO,1595453693
Chechat,24.77,75.88,83.03,69,30,9.51,IN,1595453693
Baruun-Urt,46.68,113.28,69.98,54,86,7.85,MN,1595453693
Muisne,0.6,-80.03,77.0,88,90,8.05,EC,1595453628
Pringsewu,-5.36,104.97,71.44,93,100,1.34,ID,1595453693
Salto,-31.38,-57.97,61.0,93,90,5.82,UY,1595453665
Hobyo,5.35,48.53,76.86,77,18,27.38,SO,1595453637
Savannah Bight,16.45,-85.85,84.6,76,65,11.77,HN,1595453694
Sabancuy,18.97,-91.18,87.3,65,27,9.06,MX,1595453695
Kastamonu Province,41.5,33.67,53.6,75,0,2.21,TR,1595453695
Cavalcante,-13.8,-47.46,70.14,42,0,5.06,BR,1595453695
Nhulunbuy,-12.23,136.77,68.0,94,26,4.7,AU,1595453695
Langsa,4.47,97.97,74.16,94,100,2.28,ID,1595453695
Quatre Cocos,-20.21,57.76,69.8,56,75,11.41,MU,1595453626
Sangar,63.92,127.47,60.35,68,73,14.94,RU,1595453696
Marawi,8.0,124.29,75.0,89,100,5.01,PH,1595453501
Río Gallegos,-51.62,-69.22,19.4,92,0,9.17,AR,1595453659
Ayan,56.45,138.17,52.61,90,100,10.96,RU,1595453696
Mnogovershinnyy,53.94,139.92,52.54,100,100,3.18,RU,1595453697
Lata,40.16,-8.33,69.01,91,0,1.83,PT,1595453697
Mariehamn,60.1,19.93,51.8,76,17,2.24,AX,1595453697
Hamilton,39.18,-84.53,82.0,83,40,8.05,US,1595453672
Santa Maria,-29.68,-53.81,82.4,48,100,4.7,BR,1595453698
Naryan-Mar,67.67,53.09,61.27,70,0,10.22,RU,1595453698
Urusha,54.05,122.9,55.18,90,100,6.13,RU,1595453699
Puerto Madryn,-42.77,-65.04,41.86,67,100,16.89,AR,1595453445
Richards Bay,-28.78,32.04,60.17,84,1,6.42,ZA,1595453699
Buraidah,26.33,43.98,100.4,16,20,13.87,SA,1595453498
Nālūt,30.33,10.85,75.63,34,0,14.29,LY,1595453700
Arco,45.92,10.89,72.0,75,100,1.01,IT,1595453700
Mogadishu,2.04,45.34,76.84,78,100,21.32,SO,1595453691
Nyagan,62.14,65.39,54.88,74,0,5.53,RU,1595453700
El Alto,-4.27,-81.21,65.79,77,88,17.29,PE,1595453700
Tsimmerbude,54.67,20.13,51.8,87,40,6.71,RU,1595453701
Wajima,37.4,136.9,73.08,88,100,9.46,JP,1595453701
Barinas,8.62,-70.21,80.53,86,98,3.2,VE,1595453702
Lucapa,-8.42,20.74,65.91,32,0,2.84,AO,1595453618
Morondava,-20.28,44.28,68.7,59,0,12.62,MG,1595453702
Susanville,40.42,-120.65,86.0,23,1,8.05,US,1595453703
Talcahuano,-36.72,-73.12,55.4,71,75,4.7,CL,1595453703
Catherinas Lust,6.4,-57.6,80.51,79,55,7.38,GY,1595453703
Varhaug,58.61,5.65,50.0,95,4,1.99,NO,1595453703
Campbellsville,37.34,-85.34,89.6,55,75,9.17,US,1595453663
Tubualá,9.52,-79.03,84.2,74,75,4.7,PA,1595453704
Rehoboth,-23.32,17.08,44.56,55,0,3.71,NA,1595453704
Sakata,38.92,139.85,72.52,87,100,3.78,JP,1595453704
Ordzhonīkīdze,52.44,61.74,63.12,85,100,18.41,KZ,1595453704
Betioky,-23.72,44.38,58.55,62,0,8.88,MG,1595453705
Kirillov,59.86,38.38,54.81,97,94,5.19,RU,1595453705
Concordia,-31.39,-58.02,61.0,93,90,5.82,AR,1595453706
Abhā,18.22,42.51,71.6,88,27,5.82,SA,1595453706
Kununurra,-15.77,128.73,59.0,41,21,3.36,AU,1595453706
Katsuura,35.13,140.3,77.0,90,100,4.36,JP,1595453525
Cuenca,-2.88,-78.98,60.8,67,90,5.82,EC,1595453707
Testour,36.55,9.44,82.4,34,0,9.17,TN,1595453707
Ormara,25.21,64.64,84.56,79,40,14.18,PK,1595453707
Arrondissement de Mont-de-Marsan,44.0,-0.67,75.2,64,16,9.17,FR,1595453438
Izberbash,42.57,47.86,80.6,42,100,6.71,RU,1595453708
Čelarevo,45.27,19.53,73.0,72,2,1.99,RS,1595453708
Siparia,10.13,-61.5,86.0,66,20,9.17,TT,1595453708
Atyrau,47.12,51.88,71.6,56,0,8.95,KZ,1595453708
Paamiut,61.99,-49.67,46.8,83,75,6.06,GL,1595453620
Zwedru,6.07,-8.13,71.83,97,100,4.25,LR,1595453664
Macas,-2.32,-78.12,71.6,83,75,3.36,EC,1595453709
San Francisco,37.77,-122.42,71.6,60,20,4.7,US,1595453526
Natal,-5.79,-35.21,77.0,78,75,9.17,BR,1595453696
Ambilobe,-13.2,49.05,64.69,74,100,3.24,MG,1595453710
Port Shepstone,-30.74,30.45,60.39,47,0,7.65,ZA,1595453710
Dhidhdhoo,6.88,73.1,82.33,76,100,14.67,MV,1595453634
Gigmoto,13.78,124.39,81.79,79,14,4.7,PH,1595453711
Jacareacanga,-6.22,-57.75,83.43,50,1,1.25,BR,1595453655
Balakhta,55.38,91.6,49.96,93,60,3.69,RU,1595453712
Riberalta,-10.98,-66.1,83.57,38,16,1.43,BO,1595453712
Dapaong,10.86,0.2,76.86,82,8,8.08,TG,1595453712
Zharkent,44.16,80.0,67.15,47,27,6.38,KZ,1595453712
Turukhansk,65.82,87.98,53.8,68,100,9.73,RU,1595453712
Matara,5.95,80.54,77.99,90,90,4.56,LK,1595453505
Cobija,-11.03,-68.77,83.89,53,82,2.57,BO,1595453713
Soyo,-6.13,12.37,71.65,83,73,7.43,AO,1595453713
Sabang,5.89,95.32,81.32,76,100,12.28,ID,1595453714
Taitung City,22.76,121.14,81.0,72,7,4.12,TW,1595453714
Cangas do Morrazo,42.26,-8.78,73.4,64,0,3.36,ES,1595453714
Whitecourt,54.15,-115.69,75.2,47,40,6.93,CA,1595453715
Bayir,37.27,28.22,73.4,73,0,1.12,TR,1595453715
Warri,5.52,5.75,74.88,93,100,4.21,NG,1595453715
Greifswald,54.1,13.38,57.0,68,98,7.72,DE,1595453716
Nizhniy Kuranakh,58.84,125.49,61.99,69,0,2.24,RU,1595453716
Adrar,20.5,-10.07,100.22,10,27,5.32,MR,1595453561
Kirkwall,58.98,-2.96,53.6,93,74,11.41,GB,1595453716
Acapulco de Juárez,16.86,-99.89,86.0,70,40,6.93,MX,1595453482
Salinópolis,-0.61,-47.36,79.63,83,98,11.9,BR,1595453717
Maracaju,-21.61,-55.17,73.8,38,39,1.3,BR,1595453717
Lewistown,40.6,-77.57,82.0,78,1,8.05,US,1595453717
Badvel,14.75,79.05,83.5,73,100,2.44,IN,1595453717
Punta Alta,-38.88,-62.07,46.62,88,100,30.71,AR,1595453718
San Policarpo,12.18,125.51,82.81,75,46,4.79,PH,1595453609
Mostovskoy,44.41,40.79,63.5,76,32,3.85,RU,1595453718
Alofi,-19.06,-169.92,75.2,94,75,8.05,NU,1595453670
Scottsboro,34.67,-86.03,89.6,70,1,8.05,US,1595453719
El Tocuyo,9.79,-69.79,86.0,42,74,11.41,VE,1595453719
Gouré,13.98,10.27,88.0,54,71,1.01,NE,1595453719
Burns Lake,54.23,-125.75,67.93,41,88,5.99,CA,1595453720
Thanh Pho Uong Bi,21.03,106.78,84.2,83,40,3.36,VN,1595453512
Sandwick,60.0,-1.25,55.4,87,92,10.29,GB,1595453720
Upata,8.01,-62.4,75.99,94,96,4.0,VE,1595453720
Esim,4.87,-2.24,75.4,89,95,10.16,GH,1595453721
Troitskoye,52.98,84.68,53.04,90,0,1.54,RU,1595453721
Mergen,49.18,125.22,68.27,80,57,6.49,CN,1595453721
Egvekinot,66.32,-179.17,57.16,58,81,3.94,RU,1595453721
Conway,35.09,-92.44,82.99,83,1,3.36,US,1595453604
Dalbandin,28.89,64.41,80.2,55,0,5.61,PK,1595453722
Departamento de Maldonado,-34.67,-54.92,61.0,93,90,10.29,UY,1595453722
Sibolga,1.74,98.78,75.58,88,99,4.36,ID,1595453722
Neiafu,-18.65,-173.98,77.0,73,40,8.05,TO,1595453723
Abu Samrah,35.3,37.18,72.48,57,0,7.16,SY,1595453723
Kutum,14.2,24.67,72.55,72,69,20.47,SD,1595453723
Vanavara,60.34,102.28,52.9,80,46,3.38,RU,1595453723
Bilma,18.69,12.92,92.07,26,21,6.76,NE,1595453723
Chik,54.99,82.43,50.0,100,0,3.62,RU,1595453724
Capaci,38.17,13.24,80.01,83,0,9.17,IT,1595453724
Saint-François,46.42,3.91,69.8,73,2,1.12,FR,1595453643
Otavi,-19.65,17.33,53.11,39,0,9.37,NA,1595453725
Kirakira,-10.45,161.92,79.83,83,100,13.71,SB,1595453725
Cayhagan,9.67,122.43,80.04,80,100,2.98,PH,1595453725
Totness,5.88,-56.32,79.86,83,93,8.81,SR,1595453726
Bograd,54.23,90.83,55.4,93,44,4.47,RU,1595453726
Plettenberg Bay,-34.05,23.37,59.5,60,0,4.68,ZA,1595453697
Virginia Beach,36.85,-75.98,98.01,44,75,12.75,US,1595452944
Les Cayes,18.2,-73.75,84.27,68,61,9.31,HT,1595453727
Goreloye,52.94,41.5,57.22,94,0,7.9,RU,1595453727
Progreso,21.28,-89.67,91.0,66,75,6.93,MX,1595453600
Jiuquan,39.74,98.52,69.17,50,100,8.52,CN,1595453498
Port Augusta,-32.5,137.77,33.01,85,40,5.82,AU,1595453728
Laramie,41.31,-105.59,82.4,15,90,8.05,US,1595453728
Berdigestyakh,62.1,126.7,63.09,74,0,5.28,RU,1595453729
Taksimo,56.34,114.88,58.42,81,100,1.66,RU,1595453729
